優先,id,category,探す商品,価格帯,指標,用途,url
A,aroma-diffuser,香り・リラックス,アロマディフューザー。水なし・静音のもの,4000-10000,I;F,gift;self,https://www.amazon.co.jp/TOKAIZ-%E3%82%A2%E3%83%AD%E3%83%9E%E3%83%87%E3%82%A3%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B6%E3%83%BC-%E3%83%8D%E3%83%96%E3%83%A9%E3%82%A4%E3%82%B6%E3%83%BC%E5%BC%8F-%E3%83%87%E3%82%A3%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B6%E3%83%BC-TAD-005/dp/B0G4VW29T7?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=28RIJNO9WBNSP&dib=eyJ2IjoiMSJ9.8oWILNbtGTT5RbQWtqD8aIPcoLNqYDyz79ASlVWgW-1qcazsou8R_Dqf9zTzWfchoPQdvWtCdibAT-3KrVZmbYf3-8s6FshahXbkUn8xawPj12hxbpd0edtL0_b0d0xA316_tN-8c6_P3iG3p61mBzKS9l0cSTdHBHreq8PpfKXL5d3KiTXeONGe7bufDMtNCTmjWyy_Iivar_5Lf1HAcGpadiqeqp0ol_2lQtfpFNEwdZNmb06ehwarCCJzOAp_jkkB4l_YpuJGsAsMgSKof4I1txHiPYE_5kPTVr3AB7E.eQp26JrP0PpsnPasarEVpui9BJKgJI2HNPQb1qXYwng&dib_tag=se&keywords=%E3%82%A2%E3%83%AD%E3%83%9E%E3%83%87%E3%82%A3%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B6%E3%83%BC%E3%80%82%E6%B0%B4%E3%81%AA%E3%81%97%E3%83%BB%E9%9D%99%E9%9F%B3%E3%81%AE%E3%82%82%E3%81%AE&qid=1785904326&sprefix=%E3%82%A2%E3%83%AD%E3%83%9E%E3%83%87%E3%82%A3%E3%83%95%E3%83%A5%E3%83%BC%E3%82%B6%E3%83%BC%2B%E6%B0%B4%E3%81%AA%E3%81%97%2B%E9%9D%99%E9%9F%B3%E3%81%AE%E3%82%82%E3%81%AE%2Caps%2C188&sr=8-5&ufe=app_do%3Aamzn1.fos.35785624-70c4-44ae-a5c3-3f044f475d63&th=1&linkCode=ll2&tag=soleon-22&linkId=4d965d7072555dce34e58c2cdcde7afa&ref_=as_li_ss_tl
A,essential-oil-set,香り・リラックス,エッセンシャルオイルのセット。複数の香りを試せるもの,3000-8000,I;F,gift;self,https://www.amazon.co.jp/Poven-%E3%82%A2%E3%83%AD%E3%83%9E%E3%82%AA%E3%82%A4%E3%83%AB-%E3%82%A8%E3%83%83%E3%82%BB%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%AB%E3%82%AA%E3%82%A4%E3%83%AB-%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%E3%83%86%E3%82%A3%E3%83%BC-%E3%82%A4%E3%83%A9%E3%83%B3%E3%82%A4%E3%83%A9%E3%83%B3/dp/B09Q2QX48T?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=2Q0K22DNA39EP&dib=eyJ2IjoiMSJ9.vTFTjoCugQZA8YBWNUt4-_judR_sA_cE8-UGBf5pHDk-33pqa5t0T2iYgYVFLQE5ou0hX_QM3vv1IhIs7Wfpy34HjBiA70wlBxTjAZSN3ZjkmYmZ3DMNQgSU5Mtt7dCsUev0eDmbWTDLeMGxOGEOTWT7zL_dg-y8EdJ2wODgqVhPQpUfVRgmVkTMMYaOX9ViXZFdqCx2q4rH1fxLFmMDvBoowCSiFiQjNvz4amdcnU1SblmUo0z4A2dgRoR2NgpJF7KR-rJs-cfuEvOKG_w7JgaTA3hrw9keisuSyypCbM4.IhVSb00zPUJ-t5N5uO4tMZ8LH7ejgdSi6rCUZBgRSZQ&dib_tag=se&keywords=%E3%82%A8%E3%83%83%E3%82%BB%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%AB%E3%82%AA%E3%82%A4%E3%83%AB%E3%81%AE%E3%82%BB%E3%83%83%E3%83%88%E3%80%82%E8%A4%87%E6%95%B0%E3%81%AE%E9%A6%99%E3%82%8A%E3%82%92%E8%A9%A6%E3%81%9B%E3%82%8B%E3%82%82%E3%81%AE&qid=1785904398&sprefix=%E3%82%A8%E3%83%83%E3%82%BB%E3%83%B3%E3%82%B7%E3%83%A3%E3%83%AB%E3%82%AA%E3%82%A4%E3%83%AB%E3%81%AE%E3%82%BB%E3%83%83%E3%83%88%2B%E8%A4%87%E6%95%B0%E3%81%AE%E9%A6%99%E3%82%8A%E3%82%92%E8%A9%A6%E3%81%9B%E3%82%8B%E3%82%82%E3%81%AE%2Caps%2C221&sr=8-5&th=1&linkCode=ll2&tag=soleon-22&linkId=b8ee41d4d21e85b372c82ffbadc5d7ee&ref_=as_li_ss_tl
A,hot-eye-mask,香り・リラックス,ホットアイマスク。繰り返し使える充電式,3000-7000,I;S,gift;self,https://www.amazon.co.jp/%E3%83%9B%E3%83%83%E3%83%88%E3%82%A2%E3%82%A4%E3%83%9E%E3%82%B9%E3%82%AF-%E3%82%A2%E3%82%A4%E3%83%9E%E3%82%B9%E3%82%AF-%E3%80%90%E3%82%B3%E3%83%BC%E3%83%89%E3%83%AC%E3%82%B9%E3%81%A7%E3%82%B9%E3%83%88%E3%83%AC%E3%82%B9%E3%83%95%E3%83%AA%E3%83%BC-%E3%83%AA%E3%83%A9%E3%83%83%E3%82%AF%E3%82%B9%E3%80%91%E3%81%8B%E3%82%8F%E3%81%84%E3%81%84-SALUA/dp/B08Z75MTYP?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=1AIDIPEBGV7VJ&dib=eyJ2IjoiMSJ9.dHc0xa1ZORR4Bms_I-NDDUoGUnvJkrwhu6lOKewuVQNvUtKPaX5g5w7K4cAI2BGeQius_M_d4DNzedqQEVeDN2INNZ4E-nTyXQZGueUxmEsxt6WjNRnD2VTCTWxX_vjitcKpYVs3vbcpg7VjBmIebWFMXLeN95unGhU-riNQkxJce_oMzzw2zIBu4R6DILJHBtbDzKlslSzE0JwWEgntqKZecaLPa7QumelCfh32vgw0480eS-unQl8QJjFURmJgRIsRrUyGK8kqscO3wiDia9109yLKfJ2znSE996QVEjw.Fp1c62UlvnLSw54gGw3TVaMq3pekVW_uuvujgt8kdKY&dib_tag=se&keywords=%E3%83%9B%E3%83%83%E3%83%88%E3%82%A2%E3%82%A4%E3%83%9E%E3%82%B9%E3%82%AF%E3%80%82%E7%B9%B0%E3%82%8A%E8%BF%94%E3%81%97%E4%BD%BF%E3%81%88%E3%82%8B%E5%85%85%E9%9B%BB%E5%BC%8F&qid=1785904434&sprefix=%E3%83%9B%E3%83%83%E3%83%88%E3%82%A2%E3%82%A4%E3%83%9E%E3%82%B9%E3%82%AF%2B%E7%B9%B0%E3%82%8A%E8%BF%94%E3%81%97%E4%BD%BF%E3%81%88%E3%82%8B%E5%85%85%E9%9B%BB%E5%BC%8F%2Caps%2C311&sr=8-5&th=1&linkCode=ll2&tag=soleon-22&linkId=5ec898e6d376a3429deb908a1dacb900&ref_=as_li_ss_tl
A,roll-on-aroma,香り・リラックス,ロールオンアロマ・練り香水。持ち歩けるもの,3000-6000,F;P,gift;self,https://www.amazon.co.jp/nahrin-%E3%83%8A%E3%83%AA%E3%83%B3-%E3%83%8F%E3%83%BC%E3%83%96%E3%82%AA%E3%82%A4%E3%83%AB33%EF%BC%8B7-%E3%83%AD%E3%83%BC%E3%83%AB%E3%82%AA%E3%83%B3-10mL/dp/B0DXN7V1YS?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=10I01IR1JEZ8Z&dib=eyJ2IjoiMSJ9.rp9-U7FQvI3dO-hMyv-Droo96fyPYCbuxtbWv65AVJ7erqD1CDcVqTDburmn8c8bGdOrdlCN8zrF20iLCUphJB_TXgRIS_Efjl1gsDMLYPy_yOKriFVs9yzmGtjrsUg8chCK0Rp0cshhiD-x7Edh7po5QJofjoM4ZSeFURCjXhCfV0FPCvsyT9w5MN1gRPblzwlnoh61W-J-Uwjf5ukHPJAuGyzFDgxWsw129W74bfdUPI_QdA3UltfA4HLjxtWwgnT0Hl4cGmdKeMKhnAKJLqH4AW7ZUg5hqHSC5CpmyQY.Kb_PheW__iMmBu0Czcd3iL8bqVmiEW0hRjc_vI-vvjk&dib_tag=se&keywords=%E3%83%AD%E3%83%BC%E3%83%AB%E3%82%AA%E3%83%B3%E3%82%A2%E3%83%AD%E3%83%9E%E3%83%BB%E7%B7%B4%E3%82%8A%E9%A6%99%E6%B0%B4%E3%80%82%E6%8C%81%E3%81%A1%E6%AD%A9%E3%81%91%E3%82%8B%E3%82%82%E3%81%AE&qid=1785904621&refinements=p_72%3A82381051&rnid=82379051&sprefix=%E3%83%AD%E3%83%BC%E3%83%AB%E3%82%AA%E3%83%B3%E3%82%A2%E3%83%AD%E3%83%9E+%E7%B7%B4%E3%82%8A%E9%A6%99%E6%B0%B4+%E6%8C%81%E3%81%A1%E6%AD%A9%E3%81%91%E3%82%8B%E3%82%82%E3%81%AE%2Caps%2C198&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&linkCode=ll2&tag=soleon-22&linkId=b162928b551fe75e4f56771387b4c488&ref_=as_li_ss_tl
A,planner-notebook,文具・ノート,手帳・プランナー。年度に縛られず始められるもの,3000-6000,J;T,gift;self,https://www.amazon.co.jp/%E3%83%A2%E3%83%8E%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3-%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E6%89%8B%E5%B8%B3-%E3%83%91%E3%82%B9%E3%83%86%E3%83%AB%E3%82%AB%E3%83%A9%E3%83%BC%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA-%E3%83%AA%E3%83%95%E3%82%A3%E3%83%AB10%E7%82%B9%E3%82%BB%E3%83%83%E3%83%88-B6monobasicone-gr/dp/B00U2PGVT2?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&content-id=amzn1.sym.310f460d-8967-4b39-b328-3137b82e001f%3Aamzn1.sym.310f460d-8967-4b39-b328-3137b82e001f&crid=288L930RHVED&cv_ct_cx=%E6%89%8B%E5%B8%B3%E3%83%BB%E3%83%97%E3%83%A9%E3%83%B3%E3%83%8A%E3%83%BC%E3%80%82%E5%B9%B4%E5%BA%A6%E3%81%AB%E7%B8%9B%E3%82%89%E3%82%8C%E3%81%9A%E5%A7%8B%E3%82%81%E3%82%89%E3%82%8C%E3%82%8B%E3%82%82%E3%81%AE&keywords=%E6%89%8B%E5%B8%B3%E3%83%BB%E3%83%97%E3%83%A9%E3%83%B3%E3%83%8A%E3%83%BC%E3%80%82%E5%B9%B4%E5%BA%A6%E3%81%AB%E7%B8%9B%E3%82%89%E3%82%8C%E3%81%9A%E5%A7%8B%E3%82%81%E3%82%89%E3%82%8C%E3%82%8B%E3%82%82%E3%81%AE&pd_rd_i=B00U2PGVT2&pd_rd_r=12d53e27-7374-4324-a5e6-77f064d37c12&pd_rd_w=VEFQq&pd_rd_wg=1ntVh&pf_rd_p=310f460d-8967-4b39-b328-3137b82e001f&pf_rd_r=5DZ6HF98FVE6K8SJGJJ3&qid=1785904675&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%E6%89%8B%E5%B8%B3%2B%E3%83%97%E3%83%A9%E3%83%B3%E3%83%8A%E3%83%BC%2B%E5%B9%B4%E5%BA%A6%E3%81%AB%E7%B8%9B%E3%82%89%E3%82%8C%E3%81%9A%E5%A7%8B%E3%82%81%E3%82%89%E3%82%8C%E3%82%8B%E3%82%82%E3%81%AE%2Caps%2C209&sr=1-3-31b4d88c-9469-4979-8501-615ab9499b3e-spons&ufe=app_do%3Aamzn1.fos.35785624-70c4-44ae-a5c3-3f044f475d63&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm&th=1&linkCode=ll2&tag=soleon-22&linkId=4e6df5ef0e4d6b3e98811a4ad40b8f3e&ref_=as_li_ss_tl
A,premium-notebook,文具・ノート,高級ノート。紙質が良く裏抜けしないもの,3000-6000,J;N,gift;self,https://www.amazon.co.jp/LEATHER-VILLAGE-%E7%BD%AB%E7%B7%9A%E5%85%A5%E3%82%8A%E9%9D%A9%E7%B6%B4%E3%81%98%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%8A%E3%83%AB-260%E3%83%9A%E3%83%BC%E3%82%B8-%E3%83%A9%E3%82%A4%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%8E%E3%83%BC%E3%83%88%E3%80%81%E3%83%87%E3%82%A4%E3%83%AA%E3%83%BC%E3%83%A1%E3%83%A2%E5%B8%B3%E3%80%81%E5%A5%B3%E6%80%A7/dp/B0DQKT77S3?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&crid=JUDVKQGYPWSB&dib=eyJ2IjoiMSJ9.uuTjZdWjACOTIra-Xd8Rc-sxtLhI-JQD5dXPGXJ7He4JDXXLF2rqG7OJROYbfr5YZuQu4zs6uCCBySoPVKK11pHS9-AlnTlY-WzbRp04daDhNkKei485RFDTjCYtCi_FqENvoVQN3G4Ns3V5nzzvGlx8zmYqRmX394U7Nw6yTCyjOu1QKPq7eF7NY7foKhFgFF6MHWqY0SUQcVjYLnGezKcbvUvoCLGCOGlkWiuslGonm95soiXNWVmOPtzyX69J41rl7N7Ge5hcBsUL15UuvEslLsIF3Ubt69zV5xCqaCE.MweaKA-GaAuzcrC1OVXkUWnG77zS1puFkU-jah826og&dib_tag=se&keywords=%E9%AB%98%E7%B4%9A%E3%83%8E%E3%83%BC%E3%83%88%E3%80%82%E7%B4%99%E8%B3%AA%E3%81%8C%E8%89%AF%E3%81%8F%E8%A3%8F%E6%8A%9C%E3%81%91%E3%81%97%E3%81%AA%E3%81%84%E3%82%82%E3%81%AE&qid=1785904700&refinements=p_72%3A89710051&rnid=89709051&s=office-products&sprefix=%E9%AB%98%E7%B4%9A%E3%83%8E%E3%83%BC%E3%83%88%2B%E7%B4%99%E8%B3%AA%E3%81%8C%E8%89%AF%E3%81%8F%E8%A3%8F%E6%8A%9C%E3%81%91%E3%81%97%E3%81%AA%E3%81%84%E3%82%82%E3%81%AE%2Coffice-products%2C211&sr=1-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1&linkCode=ll2&tag=soleon-22&linkId=27f8786486293544f2dd6e5762d38f6c&ref_=as_li_ss_tl
A,digital-memo-pad,文具・ノート,電子メモパッド。何度も書き消しできるもの,4000-10000,N;P,gift;self,
A,fountain-pen-ink-set,文具・ノート,万年筆インクの詰め合わせ。色で遊べるもの,4000-8000,N;P,gift,
A,ebook-reader,本・知的好奇心,電子書籍リーダー（Kindle など）,12000-20000,N;I,gift;self,
A,building-blocks,本・知的好奇心,大人向けブロック・組み立ておもちゃ,5000-15000,N;P,gift,
